大分類名,工種名,細別名,基本歩掛名,所要日数作業単位_数量,所要日数作業単位_単位,歩掛作業単位_数量,歩掛作業単位_単位,名称,規格,単位,数量,摘要
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,1,台1回,土木一般世話役,,人,表3.2,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,1,台1回,特殊作業員,,人,表3.2,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,1,台1回,運転手(特殊),,人,表3.2,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,1,台1回,自走式土質改良機 運転,解砕・固化材混合式 機械質量20t級,日,表3.2,機械損料
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,1,台1回,諸雑費,,式,1,
土工,安定処理工(自走式土質改良工),土質改良工,,,,100,m³,土木一般世話役,,人,1×100/D,"表4.2,表4.3"
土工,安定処理工(自走式土質改良工),土質改良工,,,,100,m³,特殊作業員,,人,1×100/D,"表4.2,表4.3"
土工,安定処理工(自走式土質改良工),土質改良工,,,,100,m³,固化材,,t,,"表4.4,式4.1"
土工,安定処理工(自走式土質改良工),土質改良工,,,,100,m³,自走式土質改良機 運転,解砕・固化材混合式 機械質量20t級,日,100/D,"表4.1,表4.3 機械損料"
土工,安定処理工(自走式土質改良工),土質改良工,,,,100,m³,バックホウ (クローラ型) 運転,超低騒音型。排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²),日,100/D,"表4.1,表4.3 機械賃料"
土工,安定処理工(自走式土質改良工),土質改良工,,,,100,m³,諸雑費,,式,1,表4.5
土工,土砂運搬工(不整地運搬車による運搬),不整地運搬,,,,100,m³,不整地運搬車運転,クローラ型・ダンプ・全旋回式 排出ガス対策型(2014年規制) 7t積,日,100/D,表4.1~表4.4 機械賃料
土工,土砂運搬工(不整地運搬車による運搬),不整地運搬,,,,100,m³,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,土木一般世話役,,人,1×100/D,"表4.1,表5.1"
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,ブロック工,,人,1×100/D,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,普通作業員,,人,3×100/D,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,ブロック,,個,,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,敷砂利,,m³,,必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,ラフテレーンクレーン,油圧伸縮ジブ型・ 排出ガス対策型(2011年規制) 25t吊,日,1×100/D,表5.1 賃料 機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,100,m²,諸雑費,,式,1,表6.1
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,10,m³,普通作業員,,人,表7.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,10,m³,砂利,,m³,,表7.1(注)2
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,10,m³,バックホウ (クローラ型)運転,標準型 排出ガス対策型(第3次基準値) 山積0.8m³(平積0.6m²),h,表7.1,機械損料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,10,m³,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,100,m²,土木一般世話役,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,100,m²,ブロック工,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,100,m²,普通作業員,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,100,m²,ブロック,,個,,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,100,m²,ラフテレーンクレーン,油圧伸縮ジブ型・ 排出ガス対策型(2011年規制) 25t吊,日,表8.1(注)6,機械賃料 必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,100,m²,諸雑費,,式,1,表8.1
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,100,m³,土木一般世話役,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,100,m³,法面工,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,100,m³,普通作業員,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,100,m³,客土,,m³,,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,100,m³,ラフテレーンクレーン,油圧伸縮ジブ型・ 排出ガス対策型(2011年規制) 25t吊,日,表8.1,機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,100,m³,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,1000,袋,土木一般世話役,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,1000,袋,法面工,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,1000,袋,普通作業員,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,1000,袋,植生土のう,,袋,"1,000",
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,1000,袋,ラフテレーンクレーン,油圧伸縮ジブ型・ 排出ガス対策型(2011年規制) 25t吊,日,表8.1,機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰植生土のう設置,,,,1000,袋,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,10,m³,土木一般世話役,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,10,m³,普通作業員,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,10,m³,割石又は栗石,,m³,,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,10,m³,ラフテレーンクレーン,油圧伸縮ジブ型・ 排出ガス対策型(2011年規制) 25t吊,日,表8.1,機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰割石又は栗石設置,,,,10,m³,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,10,m³,土木一般世話役,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,10,m³,普通作業員,,人,表8.1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,10,m³,砕石,,m³,,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,10,m³,バックホウ(クローラ型)運転,標準型。 排出ガス対策型(第3次基準値) 山積0.8m³(平積0.6m²),h,表8.1,機械損料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰砕石設置,,,,10,m³,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,100,袋,普通作業員,,人,表8.1(注)2,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,100,袋,植生土のう袋,400×600,袋,100,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,100,袋,植生土,,m³,2,表8.1(注)2 必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),植生土のう製作,,,,100,袋,諸雑費,,式,1,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,土木一般世話役,,人,表5.1,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,特殊作業員,,人,表5.1,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,普通作業員,,人,表5.1,
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,コンクリート,,m³,,式5.1
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,コンクリートポンプ車運転,トラック架装・ブーム式 圧送能力90~110m³/h,h,表5.1,機械損料
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,圧送管組立・撤去費,,式,1,必要に応じて計上 表5.1
共通工,法面工 コンクリート法枠工(現場打法枠工),コンクリートポンプ車打設,,,,100,m³,諸雑費,,式,1,表5.1
共通工,法面工 コンクリート法枠工(現場打法枠工),アンカー設置,,,,10,本,普通作業員,,人,表6.1,","
共通工,法面工 コンクリート法枠工(現場打法枠工),アンカー設置,,,,10,本,アンカー,,本,10,","
共通工,法面工 コンクリート法枠工(現場打法枠工),アンカー設置,,,,10,本,諸雑費,,式,1,","
共通工,法面工 コンクリート法枠工(現場打法枠工),吸出し防止材敷設,,,,100,m²,普通作業員,,人,表7.1,
共通工,法面工 コンクリート法枠工(現場打法枠工),吸出し防止材敷設,,,,100,m²,吸出し防止材,,m²,,式7.1
共通工,法面工 コンクリート法枠工(現場打法枠工),吸出し防止材敷設,,,,100,m²,諸雑費,,式,1,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,1,構造物,土木一般世話役,,人,D1,表3.1
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,1,構造物,特殊作業員,,人,D1,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,1,構造物,普通作業員,,人,D1,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,1,構造物,充てん材材料費,,kg,,式3.1
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工(充てん工法) 補修延べ延長20m未満の場合,,,,1,構造物,諸雑費,,式,1,表3.3
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,1,構造物,土木一般世話役,,人,$L/10\times D2$,表3.2
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,1,構造物,特殊作業員,,人,$L/10\times D2$,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,1,構造物,普通作業員,,人,$L/10\times D2$,
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,1,構造物,充てん材材料費,,kg,,式3.1
共通工,構造物補修工 ひび割れ補修工 (充てん工法),ひび割れ補修工 (充てん工法) 補修延べ延長20m以上の場合,,,,1,構造物,諸雑費,,式,1,表3.3
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,土木一般世話役,,人,D1,表3.1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,特殊作業員,,人,D1,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,普通作業員,,人,D1,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,注入材,,kg,,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,シール材,,kg,,式3.1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,低圧注入器具,,個,,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m未満の場合,,,,1,構造物,諸雑費,,式,1,表3.3
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,土木一般世話役,,人,$L/10\times D2$,表3.2
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,特殊作業員,,人,$L/10\times D2$,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,普通作業員,,人,$L/10\times D2$,
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,注入材,,kg,,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,シール材,,kg,,式3.1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,低圧注入器具,,個,,必要数量計上(注)1
共通工,構造物補修工 ひび割れ補修工 (低圧注入工法),ひび割れ補修工(低圧注入工法) 補修延べ延長25m以上の場合,,,,1,構造物,諸雑費,,式,1,表3.3
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,1,構造物,土木一般世話役,,人,D1,表4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,1,構造物,特殊作業員,,人,D1,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,1,構造物,普通作業員,,人,D1,
