カテゴリ名,サブカテゴリ名,アイテム名,所要日数作業単位_数量,所要日数作業単位_単位,基本所要日数名,基本所要日数,歩掛作業単位_数量,歩掛作業単位_単位,基本歩掛名,歩掛カテゴリ,項目名,歩掛数量,歩掛単位,説明
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,労務,土木一般世話役,表3.2,人,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,労務,特殊作業員,表3.2,人,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,労務,運転手(特殊),表3.2,人,
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,機械,自走式土質改良機 運転,表3.2,日,機械損料
土工,安定処理工(自走式土質改良工),自走式土質改良機設置(撤去),,,,,1,台1回,,,諸雑費,1,式,
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,労務,土木一般世話役,1×100/D,人,"表4.2,表4.3"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,労務,特殊作業員,1×100/D,人,"表4.2,表4.3"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,,固化材,,t,"表4.4,式4.1"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,機械,自走式土質改良機 運転,100/D,日,"表4.1,表4.3 機械損料"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,機械,バックホウ (クローラ型) 運転,100/D,日,"表4.1,表4.3 機械賃料"
土工,安定処理工(自走式土質改良工),土質改良工,,,,,100,m³,,,諸雑費,1,式,表4.5
土工,土砂運搬工(不整地運搬車による運搬),不整地運搬,,,,,100,m³,,機械,不整地運搬車運転,100/D,日,表4.1~表4.4 機械賃料
土工,土砂運搬工(不整地運搬車による運搬),不整地運搬,,,,,100,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,労務,土木一般世話役,1×100/D,人,"表4.1,表5.1"
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,労務,ブロック工,1×100/D,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,労務,普通作業員,3×100/D,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,,ブロック,,個,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,資材,敷砂利,,m³,必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,機械,ラフテレーンクレーン,1×100/D,日,表5.1 賃料 機械賃料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),プレキャストブロック設置,,,,,100,m²,,,諸雑費,1,式,表6.1
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,労務,普通作業員,表7.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,資材,砂利,,m³,表7.1(注)2
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,機械,バックホウ (クローラ型)運転,表7.1,h,機械損料
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),敷砂利,,,,,10,m³,,,諸雑費,1,式,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,労務,ブロック工,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,,ブロック,,個,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,機械,ラフテレーンクレーン,表8.1(注)6,日,機械賃料 必要に応じて計上
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰ブロック設置,,,,,100,m²,,,諸雑費,1,式,表8.1
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,労務,土木一般世話役,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,労務,法面工,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,労務,普通作業員,表8.1,人,
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,,客土,,m³,表8.1(注)8
共通工,法面工 コンクリート法枠工 (プレキャスト法枠工),中詰客土設置,,,,,100,m³,,機械,ラフテレーンクレーン,表8.1,日,機械賃料
