"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","名称","規格","単位","数量","摘要",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","土木一般世話役","","人","表3.2",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","特殊作業員","","人","表3.2",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","運転手(特殊)","","人","表3.2",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","自走式土質改良機 運転","解砕・固化材混合式 機械質量20t級","日","表3.2","機械損料"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","諸雑費","","式","1",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(1)自走式土質改良機設置(撤去) 1台1回当り単価表","計","","","",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","名称","規格","単位","数量","摘要",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","土木一般世話役","","人","1×100/D","表4.2,表4.3"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","特殊作業員","","人","1×100/D","表4.2,表4.3"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","固化材","","t","","表4.4,式4.1"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","自走式土質改良機 運転","解砕・固化材混合式 機械質量20t級","日","100/D","表4.1,表4.3 機械損料"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","バックホウ (クローラ型) 運転","超低騒音型。排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²)","日","100/D","表4.1,表4.3 機械賃料"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","諸雑費","","式","1","表4.5"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(2)土質改良工100m³当り単価表","計","","","",""
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(3)機械運転単価表","機械名","規格","適用単価表","指定事項"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(3)機械運転単価表","自走式土質改良機","解砕・固化材混合式機械質量20t級","機-24","燃料消費量→122 機械損料数量→ 1.84"
"2章 土工 ⑨ 安定処理工(自走式土質改良工)","(3)機械運転単価表","クロ型","超低騒音型 排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²)","機-28","運転労務数量 1.00 燃料消費量 106 機械賃料数量 1.80"
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(1)不整地運搬100m³当り単価表","名称","規格","単位","数量","摘要",""
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(1)不整地運搬100m³当り単価表","不整地運搬車運転","クローラ型・ダンプ・全旋回式 排出ガス対策型(2014年規制) 7t積","日","100/D","表4.1~表4.4 機械賃料"
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(1)不整地運搬100m³当り単価表","諸雑費","","式","1",""
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(1)不整地運搬100m³当り単価表","計","","","",""
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(2)機械運転単価表","機械名","規格","適用単価表","指定事項"
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(2)機械運転単価表","不整地運搬車","クローラ型・ダンプ・全旋回式 排出ガス対策型(2014年規制) 11t積","機-28","運転労務数量→ 1.00 燃料消費量→ 147 機械賃料数量→ 1.54"
"2章 土工 ⑩ 土砂運搬工(不整地運搬車による運搬)","(2)機械運転単価表","不整地運搬車","クローラ型・ダンプ・全旋回式 排出ガス対策型(2014年規制) 7t積","機-28","運転労務数量→ 1.00 燃料消費量→ 133 機械賃料数量→ 1.54"
"3章 共通工 法面工 ①-4 コンクリート法枠工 (プレキャスト法枠工)","(1) プレキャストブロック設置100m²当り単価表","名称","規格","単位","数量","摘要",""
"3章 共通工 法面工 ①-4 コンクリート法枠工 (プレキャスト法枠工)","(1) プレキャストブロック設置100m²当り単価表","土木一般世話役","","人","1×100/D","表4.1,表5.1"
