カテゴリ名,サブカテゴリ名,アイテム名,所要日数作業単位_数量,所要日数作業単位_単位,基本所要日数名,基本所要日数,歩掛作業単位_数量,歩掛作業単位_単位,基本歩掛名,歩掛カテゴリ,項目名,歩掛数量,歩掛単位,説明
仮設工,工事用道路工,敷砂利,,,,,,,,,,,,
仮設工,工事用道路工,敷鉄板,,,,,,,,,,,,
仮設工,工事用道路工,土のう積,,,,,,,,,,,,
仮設工,工事用道路工,工事用道路盛土,,,,,,,,,,,,
仮設工,工事用道路工,仮設舗装,,,,,,,,,,,,
仮設工,土留・仮締切工,鋼矢板,,,,,,,,,,,,
仮設工,土留・仮締切工,H鋼杭,,,,,,,,,,,,
仮設工,土留・仮締切工,切梁・腹起し,,,,,,,,,,,,
仮設工,路面覆工,覆工板設置・撤去,,,,,,,,,,,,
道路土工,掘削工,掘削(ICT対応含む),,,,,,,,,,,,
道路土工,掘削工,土砂等運搬,,,,,,,,,,,,
道路土工,掘削工,整地,,,,,,,,,,,,
道路土工,路体盛土工,路体(築堤)盛土(ICT対応含む),,,,,,,,,,,,
道路土工,路床盛土工,路床盛土(ICT対応含む),,,,,,,,,,,,
道路土工,残土処理工,残土等処分,,,,,,,,,,,,
道路土工,法面整形工,法面整形(切土部/盛土部),,,,,,,,,,,,
地盤改良工,路床安定処理工,安定処理(ICT対応含む),,,,,,,,,,,,
軽量盛土工,軽量盛土工,軽量盛土,,,,,,,,,,,,
軽量盛土工,軽量盛土工,壁面材,,,,,,,,,,,,
軽量盛土工,軽量盛土工,基礎コンクリート,,,,,,,,,,,,
舗装工,舗装準備工,不陸整正,,,,,,,,,,,,
舗装工,アスファルト舗装工,下層路盤,,,,,,,,,,,,
舗装工,アスファルト舗装工,上層路盤,,,,,,,,,,,,
舗装工,アスファルト舗装工,基層,,,,,,,,,,,,
舗装工,アスファルト舗装工,中間層,,,,,,,,,,,,
舗装工,アスファルト舗装工,表層,,,,,,,,,,,,
舗装工,コンクリート舗装工,コンクリート舗装,,,,,,,,,,,,
舗装工,排水性舗装工,排水性舗装・表層,,,,,,,,,,,,
舗装工,薄層カラー舗装工,薄層カラー舗装,,,,,,,,,,,,
舗装工,ブロック舗装工,ブロック舗装,,,,,,,,,,,,
舗装工,路面切削工,路面切削,,,,,,,,,,,,
舗装工,舗装打換え工,舗装版破砕,,,,,,,,,,,,
舗装工,舗装打換え工,舗装版切断,,,,,,,,,,,,
排水構造物工,側溝工,プレキャストU型側溝,,,,,,,,,,,,
排水構造物工,側溝工,自由勾配側溝,,,,,,,,,,,,
排水構造物工,側溝工,L形側溝,,,,,,,,,,,,
排水構造物工,集水桝工,現場打ち集水桝,,,,,,,,,,,,
排水構造物工,集水桝工,プレキャスト集水桝,,,,,,,,,,,,
排水構造物工,管渠工,ヒューム管(B形管),,,,,,,,,,,,
排水構造物工,管渠工,暗渠排水管,,,,,,,,,,,,
排水構造物工,作業土工,床掘り,,,,,,,,,,,,
排水構造物工,埋戻し,埋戻し,,,,,,,,,,,,
橋梁付属物工,橋梁用防護柵工,橋梁用防護柵,,,,,,,,,,,,
道路付属物工,縁石工,歩車道境界ブロック,,,,,,,,,,,,
道路付属物工,縁石工,地先境界ブロック,,,,,,,,,,,,
構造物撤去工,排水構造物撤去工,U型側溝撤去,,,,,,,,,,,,
構造物撤去工,縁石撤去工,境界ブロック撤去,,,,,,,,,,,,
構造物撤去工,舗装版撤去工,舗装版破砕,,,,,,,,,,,,
